replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
6323117451.42507,6637496962.65129,6555113776.52098,6224551671.90489,5695554650.43139,6106356165.99484,6349283375.23225,5915862104.77264,5470100495.31462,6586003094.63442,6091661203.86897,5566018191.49913,6132861488.51593,6125556067.1861,6386649483.60419,6284470391.34056,6442422703.97742,6904121200.61975,6168094769.24757,6536392767.40757
6438187235.61312,5365670628.98948,5603299792.93586,6495098072.22473,5872479763.54897,6565230905.83996,7502832326.81232,6648769371.33417,6502767357.86174,6290091350.38875,6287720820.92967,6051376894.15576,6170265037.82511,5709994660.43439,7046120186.46852,5942875557.96308,5769666358.90039,6062843276.42632,6442754565.30527,6104210550.69155
5099973033.48612,4381376129.61226,4173920065.50285,5082907217.57502,5148819369.67464,4274210438.38011,4502545809.91934,4234401811.60381,4527226387.96045,4237241172.37532,4846917901.63546,4381661678.86506,4098995405.10626,4987058255.49942,4601670822.04727,4578130632.72303,5624213270.84833,4723284214.91096,4456994257.82611,5668248802.91989
7484936579.51803,7600634257.88511,7587797412.28965,7806923350.73673,6337750208.2634,7850711333.46542,7271777951.95596,7620858055.64077,7949053378.36112,8134967284.33325,7424435258.04333,7901581968.89775,7578469375.2951,7576583154.65138,7719503993.34711,8160892231.48787,8358089835.49621,8404685443.49901,7943968424.61443,7852926195.98213
3043989943.92761,2557976792.14857,3521155033.46406,3889258671.17634,2823691284.83457,3651871444.13438,3183203545.96696,2654743773.03898,2814097123.42161,2792958733.13886,2853190829.59439,2386817569.38271,3130702287.33358,2934919536.66484,2368049544.84125,2901153936.02347,2381539257.29016,2639316515.03097,3205912873.78296,3769595250.24265
6851415908.1863,7802787777.92462,7786335568.54644,6423736898.84567,6937244309.19796,7034673318.91744,7097287090.93155,7055058966.31808,6420476967.04001,6727672408.4458,6922409476.87405,6965742535.1852,7027587737.97961,7076292668.9502,6601022955.04129,7092697883.25058,6375198040.64875,8127403705.35603,7028913501.18229,7800927723.33694
4288061125.67873,3908690741.45994,3835596436.47694,4102649050.81117,4325140470.21103,3773869920.26301,3629643368.9147,4151416887.91288,4153746472.23349,4327405913.01589,4515661560.58086,4144121383.79525,3576540124.89888,3800991503.38716,3577804473.57945,4417333330.23494,4308394604.05448,3642499049.12987,4574317278.5377,3938149160.94874
6927878649.27007,6631340287.35426,6522757579.10134,6826252562.11627,6938148675.75546,6895820139.28421,7345219189.9319,6286604491.40783,7129881308.62117,7287022571.07481,6768707693.64418,7301169728.77127,7555830428.3767,6933074978.99029,7371877506.91567,6647707589.96272,7260612926.5017,7191275476.20004,7201650078.86171,7337360739.90233
5392405196.29896,6471136250.60006,5736733404.78111,5969136883.17168,5980622313.34542,6027698001.78971,6522090393.17373,5374355748.02118,6023518064.49887,5955867450.52419,5899454682.59494,6042913073.96359,5709874996.6665,6961788830.36999,6277279236.21595,6329158099.15697,5629312706.75959,5797450595.41624,5132161035.1991,5718297768.1632
2751501365.04958,2235036322.48155,2895940180.61882,3417249940.92101,2365549259.0781,1991382109.63739,1909251548.83403,2588076550.32154,2684695052.62715,2141611537.55762,1986178458.70727,1722187668.09669,2452723071.44945,2614418963.54445,1795207495.36481,1933285156.70823,2871423967.41987,3133634822.54998,2338142226.43115,2777037754.16187
6012004852.15818,5068726232.12133,5827981696.68937,4953445563.53661,5439607574.09482,5646955418.50743,5453252559.6894,5368335931.78481,5620826776.92428,5972132852.58117,6026521481.81876,6125954342.33969,5299902321.53849,5540483426.79024,6457863379.09276,5952884616.51134,5800290736.29033,6033343934.63308,5854553150.35563,6122124893.89449
3598608349.25537,4300902426.43417,4148329491.80454,4578865087.01138,3726095203.47939,4807984148.18139,4551792885.75984,4486432663.31721,3618601825.38775,4417820415.41057,3508923767.36519,3709829672.9754,3719945179.33828,4213893897.60804,4106567392.33513,4140609053.9078,3464148580.4913,2466270767.89162,3878212191.77077,4213359442.93233
1762479169.1752,1758595061.221,1992371287.80063,2161265640.27618,2208207670.96119,2011604496.53016,1968939361.09446,1778373586.62444,1420122351.49338,2287260791.51215,1782033477.97828,2395611109.28252,2042085998.01226,1802208971.11409,1810615984.54145,2061789590.74284,1623983589.8612,2876931038.24971,492635215.478725,2666851503.16524
3286328395.16288,2945445158.60682,3469717528.92666,3072235630.13119,3117390674.74427,2692916317.74439,2679575775.31888,2880925399.53253,2737195546.53818,2884577746.93438,2697603989.45798,1936683290.44647,3344704744.80235,3275004807.69499,2365979028.9727,2429321284.528,3172903281.43167,2964150953.91893,2773807683.3444,2779573970.58731
7824836556.49413,7920206287.13164,7074478682.38598,8041590709.03413,7801420519.6556,7669550385.6493,7518244556.62796,7966231927.44227,7972480779.78169,7620208553.98553,7507898850.34068,7352382131.75572,7674687911.47538,7452747555.15075,8095944402.22624,7778376173.23429,7698119022.59184,8099772645.43198,7899215498.92507,8204479754.59033
6927672685.37484,5626680012.89385,6014260174.55237,6150354761.70913,6380146831.61677,6497045178.86923,5399570842.24809,5804141839.91266,6004635956.6224,5982532591.99426,5942474001.42689,5526518586.56448,6013793582.84452,5764987982.03876,6301163595.89594,5741881560.47989,5786627879.32309,5882570522.57775,6111272051.76872,5712678978.45614
3355858884.10948,4280513661.05362,4025384760.86553,3836015152.16377,3829894649.98587,3668794573.48977,4242317248.24341,2719171339.26116,3503154103.05036,3763705842.89198,4054588434.38525,3389469582.733,3531540487.51515,3843545512.57872,4221014868.89607,4140378378.10381,3637238059.88576,4219344816.11211,3912179248.3694,3336041875.49438
3540587211.03601,3278000904.26507,2811497122.57812,3091958026.33113,2872103371.40728,3509796025.9996,3329467987.18225,3538685126.25045,2599840628.50277,2781084106.03513,2527298818.56952,2570893578.0436,3630626080.5027,3264413078.29173,2911877386.31473,4084799178.41288,2511682120.61836,2707178900.87702,3176135576.90433,3465392366.39945
4919445809.21153,4962093600.55098,4358988993.31732,4406271909.6398,4485307486.16949,4597642723.342,4192350468.0764,4940665710.23167,4459063049.08175,5487829279.97999,4807230139.8884,4525582299.75542,4677935434.15557,4949202168.45372,5006202006.00692,5525617261.13903,5186869789.54103,4528721598.6395,4361293399.44658,5232903676.21003
4779095371.35843,5669890790.65893,5258357608.45201,6360398610.98906,5302763509.02085,5132387451.84566,5065095909.38535,5796437902.04681,5326318948.77326,5505736788.96732,5590087708.32047,5666059776.17775,4894279133.79062,5804825324.53617,5302076392.68721,5425851079.09037,5002717539.41621,5107207353.87277,5767571448.9185,5199102030.7737
3659007768.62373,3637243652.7832,4448412391.87615,3809664714.0463,4475056834.80603,3256767946.07097,3724193001.38102,4238993383.32176,4362978885.35686,3760560409.17523,4434077250.99134,4498487663.79142,3356184098.08442,4000529967.68199,3479428839.4601,3960518495.76017,4295624098.08963,4897960865.48927,4332086346.17036,3858559144.87076
21344781447.0799,20950804576.2102,19435730275.7543,20378613631.167,20565240480.4067,20305933824.9413,21368656306.3521,20703841142.7646,20432697330.9535,20946705235.9481,20188447606.1953,20785008636.4512,20601855684.4807,19997910404.8232,19806670180.8487,20375831375.7731,19372339014.3769,21158328892.5205,21242063199.3525,21348529784.3587
7904600352.13576,8010076816.31006,8306705658.86932,8331782605.84807,8305736226.6974,7110972347.29504,6934301753.74111,8273706367.74051,6678730207.99331,8283804267.40478,7332940595.3352,8211433824.83447,7780461382.11839,7544015220.87364,6952847840.14019,7981676620.09677,6915783940.51227,7709738838.69958,7258453861.30824,8200129959.76962
7319857460.90246,7025025176.849,7116463845.58902,7381600324.98258,7112782268.0307,7367792346.28843,7087616568.87081,6082323069.48347,7656082291.23927,6490023557.40834,7232044808.86323,7343308624.6971,6707255175.67929,6939874364.00612,7145575036.33461,7737991903.73477,7291807770.30327,6474389284.91182,7395596229.27546,7142665792.22797
5896891091.81504,4736227393.99226,4778160271.54215,4443155683.43499,4754046293.15458,4546534029.18026,4738391983.69174,4984011179.49325,5540350201.43566,5200507918.04173,5151909363.699,5051622396.32443,5470862672.1218,4883558447.30351,4493650915.83533,4517299436.79057,5958266924.13768,5078602847.09048,4689777480.29868,6330689072.79285
4068889295.19959,4075430002.59786,4156374387.50207,3805780516.14668,3866535759.18195,4403390864.70751,4381543363.67475,3510520194.71932,4702752393.55165,4150653789.0413,4487782597.87988,4863369107.20937,4518844382.75768,4209079124.33631,3795666789.56953,4463834728.90597,3956713260.25693,3290547695.29101,3912033132.59978,4410149673.6214
2532550447.9568,3226050669.98944,2752252393.28488,3245574241.85178,3339043363.51052,3430160568.79595,3837949905.21756,3578653604.8696,3071103470.23485,2797144117.08469,2732661288.62214,3131272454.28151,3236723803.7589,2719834603.16868,3681210498.94282,3949353273.13836,3197947769.20492,3018815810.17053,3420251523.40683,3594133335.27927
4128803545.36629,4499131360.47293,4704358482.24888,4570482651.76147,4177087762.37166,4598455410.17844,4493263738.40903,3535716030.08579,5056122839.30305,5046417027.47758,4320147297.75368,4309357537.56749,4870637344.31497,4574293858.22584,4892751572.55963,4579655975.53074,4905069673.01525,3978008223.17002,5057307595.67992,4741731407.43439
6325854630.97486,5731527704.76742,6100722226.45423,6062006465.93876,5427754765.32961,5279075673.18402,6312636082.90575,5969560758.7463,6067537076.65016,5408840629.30379,5438120436.67869,5874005675.87412,4985817151.69385,5384307576.05918,5811831425.9945,5847695714.20977,5830374524.47559,4827410004.50229,5869439963.58583,5886359049.94446
4361978319.92728,5197008386.57842,4471048236.53599,4802011113.1021,4609910279.95476,4704965795.45648,4701348360.98993,5161112406.29306,4499426292.97748,5289448026.17181,5019857884.67266,4572024399.41572,4461738766.93968,5086996960.87159,4698450544.14586,5657295976.26402,4302826206.6636,4483119505.13696,4994508525.24311,5002027235.85803
