replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
4513722679.28732,4390224009.38974,4317228002.74588,4476469698.19506,4595418766.45981,4343618019.57517,4566564982.30984,4450650068.26565,4239459685.26083,4340166297.25631,4358326055.93905,4008789815.36309,4423504762.42622,4261320794.19551,4070368607.22608,4209670448.29523,4263490020.949,4504677659.79943,4394039990.39728,4385781499.25938
4190632299.78818,4250234338.83344,4349411142.04126,4673424563.39794,4393707228.49098,4512779408.70496,4389503272.78893,4499079124.94723,4591660261.29553,4068489441.88113,4605554377.53334,4528087139.5331,4736799208.59444,4285046900.21899,4684904692.56959,4405412324.15983,4292161065.73434,4225828498.28198,4644721181.61811,4547410188.44963
2959442409.89056,2892634129.77524,2681433665.29268,2869532987.52076,2926414036.6977,2940373587.66853,2870672523.62977,2928608508.49368,2344703081.76263,2712299389.59248,3191834686.98954,2659064422.74989,2658903318.33957,3067007334.00618,3094103728.25136,2907385155.56228,3186986673.94637,2835259835.79383,3007001917.67146,3229301289.4626
5527013453.8515,5624713563.41342,5484150059.58674,5136876729.78927,5265549143.20517,5586247064.90692,5459535220.2413,5618781665.10273,5393163288.62078,5700112793.32445,5386708361.24461,5250683422.37054,5242922320.29906,5340305232.4669,5482617239.24178,5544010683.38122,5543925486.85798,5681576446.2279,5463499304.28594,5562622683.78619
1602719839.39704,1928322127.26502,1786714462.8428,1905448503.19472,1606947971.96237,2115737255.28456,1713645998.63258,1612866459.94778,1578558952.08309,1604281019.38804,1758696743.32793,1741551236.17121,1562401875.61302,1678600201.98764,1912176550.24194,1622392378.33981,1739744810.03848,1516985566.05067,1354016057.42897,2050714323.36492
5147443662.61554,5013636982.99533,4998663124.76248,4530152907.79868,4815904194.22311,4800064054.91352,4966111123.22062,4745461866.60631,4685499151.50461,4815191507.8109,4909875907.64861,4829943275.85134,4794749075.33508,4666723566.44703,4528437452.38015,4879315510.50841,4480421609.71629,5192928629.73744,4938859965.30928,4891475539.88719
2804014782.57678,2509300275.72993,2857631381.25784,2650476043.42193,2637398918.37213,2905388950.00771,2480565147.10134,2573959610.75169,2528282146.01483,2523518738.49629,2599385156.36251,2402101088.79988,2633101417.73385,2681748225.73493,2541795322.36852,2836035042.01982,2635090725.04387,2354168446.93711,2893604390.31225,2592768401.93902
4689894103.26814,4429068748.58062,4537932608.50737,4611755882.30686,4797393523.33676,4200994654.14051,4679324907.1955,4519294854.87263,4715281798.33867,4725336231.47835,4630908703.27295,4783315984.578,4399694972.41944,4502831059.95446,4623132130.68421,4337762813.4199,4855629059.69411,4699007658.44349,4807407051.29851,4751259281.87277
4190677728.39827,4275655971.94212,4160206481.5391,4211507070.67746,4115895854.26968,4038161967.14817,4093696264.10099,3891715786.22779,4452903370.4945,4288486454.47515,4114477927.33796,4153398812.2861,4096650235.8713,4187226883.21341,4264951151.09154,4248094830.90496,3954333047.73592,4264672397.64156,3938558450.41256,4099695895.66434
1330557672.79399,1295784113.03468,1541638265.68714,1636551903.55238,988753972.471803,1125002261.9227,1298335352.09312,1818139414.81086,1548559271.84634,1071363443.01429,841380312.969124,1356939701.11011,1533996435.76081,1194549349.67479,1062837774.45071,1298419550.11731,1519842089.78649,1367225083.27535,1214338985.97907,1414085233.19734
