replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20
1233560330.63342,1237494336.18234,1370375307.39373,1349171931.15233,1263833057.497,1343150630.59269,1246874874.26301,1176052830.06457,854569752.313405,1306156612.8685,1271348293.5337,1252934018.53148,1491861575.61432,1540772480.5698,1426046917.59154,1380413802.59795,1417412460.45278,1374804856.68006,1266335559.85935,1410258233.86387
1298248735.17173,1076302275.09948,1116186168.68319,1288287643.40864,1348951810.82601,1297868454.82315,1598401657.08399,1128931157.01228,1436771259.42738,1318646842.27622,1266593893.3813,1263009238.098,1304352266.72524,1270634235.38919,1328646098.71038,1299088015.7456,1319667854.18087,1378197489.65834,1518607973.20477,1043893916.88918
1426158947.88178,1206429422.86081,1349274347.83138,1505017753.41959,1534351043.47441,1309903679.55367,1453040915.94611,1128872081.93367,1356342407.06312,1166853004.9883,1281352695.84443,1433391205.61196,1459328003.65932,1225826934.00422,1147936939.36696,1380632226.63242,1383611555.90634,1414623572.84335,1241327771.38686,1497187500.18623
1923394498.51936,1628488192.28989,1675213391.2284,1528161527.36846,1581623804.09242,1689832098.29792,1714150601.55991,1754353492.52314,1628143400.76448,1865222218.89843,1870257973.54274,1713754600.73408,1586997934.44091,1688728772.87739,1730239089.65326,1648138909.91468,1940402784.59547,1681399376.65227,1894245760.6877,1740251513.77355
945479543.421469,937596161.572005,1148541629.61948,996266959.646405,1197177993.82999,1057178599.32827,1226113124.78339,841129037.64165,1161073131.8834,1028411583.32953,987611994.498825,903767801.408145,1105296873.25113,883485823.322595,973740636.233525,942224058.370698,818707640.300765,936612994.789221,1126500956.69002,1299923848.75738
1633484572.93902,1758181867.25553,1882201455.33344,1393491992.48155,1666515150.78939,1731545181.71707,1693913882.28854,1565452663.44135,1757256327.36709,1654403464.56084,1770918579.47657,1720556031.0449,1568209816.30515,1538596884.19201,1805031341.6153,1618250242.41644,1694221797.39742,1851781814.57071,1550277213.6058,1840618770.36786
761110553.12656,1015355953.21443,963934885.074665,993120963.312075,1049053312.7222,673944213.77269,809595307.640225,1129334215.1989,761738943.874465,1036843212.49042,835774650.910595,1201394534.77718,906503377.729795,973019229.741445,906251801.91145,1004487313.5677,1198381028.44924,891710495.009525,1015107447.75585,893791508.23556
1523805822.70855,1591023572.15912,1667334348.86167,1704773968.99918,1787128945.39826,1580182785.19101,1736860228.26619,1583132325.88455,1554137081.11041,1777357411.14187,1560408556.9027,1611521015.49284,1857137426.22948,1806089623.10559,1691859286.02687,1417955705.71502,1661398710.73696,1587856723.96895,1690406007.3704,1811188536.55313
1010138654.98563,1303204870.8109,1262932466.84965,1371825411.45718,1420942502.6975,1216053732.53898,1218876888.14068,1131890527.22204,1081699499.14299,1356749536.40487,1079625061.56797,1266471396.93403,1173221357.95312,1469546608.14882,1336365055.24362,1416456697.24566,1385948556.13445,1165789484.77115,1360084877.91845,1373375466.5667
934257987.893351,917575886.512517,1008425530.94806,1124957944.36429,1157084924.73499,887705356.739287,879503066.406492,928981117.88726,970425455.634016,939076183.745636,966046560.770525,673605478.943644,1019128919.43288,845949947.658261,721681613.779185,797832850.069965,779835036.130769,967526986.894037,763714032.754876,899570986.819942
1466925158.51414,1290198925.09356,1297378799.60469,1181170209.93338,1442322579.39898,1261307952.81645,1389738073.19533,1479385063.89653,1555141322.7262,1538658518.23489,1546210789.92858,1445992381.93067,1333094397.18603,1288514552.33337,1559478811.6296,1443386296.85783,1633408938.19052,1468824828.23555,1446313296.59578,1581634550.87419
1014565975.67181,1269445499.54834,1238234305.49428,1219377894.08601,903801939.33564,1248058813.02453,1387888064.83676,1200223542.54339,1169474396.08432,1120788521.55205,1059095314.02644,1036387566.88379,1222618310.01012,1241843815.29926,1049133809.38105,1233400753.37275,853808185.681315,782885806.74645,1198240594.90918,994497581.5983
735076929.122337,555458107.072097,705209178.3149,686564336.277768,746572971.138123,854787314.594706,696480226.951579,569674847.005563,531273189.17357,785592558.559018,604690250.541066,836118473.050362,588644809.564524,554138390.885047,481792651.030135,701531221.582504,764127637.336842,814928525.038898,598904493.979305,741776663.747998
849422983.70263,659320696.61562,923494429.336455,1003429718.77093,896898496.22987,776615994.75877,694200266.03649,942742707.049645,850528999.863965,814363414.02369,840593793.52676,646124912.161675,855843967.223645,952063010.88412,859420586.173476,667536323.74789,884790825.04481,893326457.53699,793594013.716105,1009517447.90446
1935026663.14558,1754801503.59338,1484726883.52358,1790311742.78413,1756373838.23949,1571346696.37376,1783180691.86824,1716151106.3092,1620992320.80512,1810037449.4575,1608413174.50339,1842138369.19483,1643542365.51733,1756539063.64605,1689609516.95398,1595280580.47983,1574259268.01564,1911479250.39722,1893744279.68753,1810544374.62504
1241070277.85629,900865707.981585,1232519773.78988,1119682439.40745,1056304330.0545,1180303971.82861,994436339.455095,1180008002.35885,985074382.30356,1101745293.21795,1100477675.23812,1038982626.03733,1041914916.65444,1076347231.89592,1185554687.70251,1113273531.63408,1042071682.65176,1263249155.6368,1109042508.28693,1150304968.9382
850328754.652775,1268559360.19515,982956262.072415,927655256.854955,1285653519.07634,1006251027.99786,966383637.99991,952579080.848845,965896980.66417,891694931.35501,885792040.25725,797819881.598635,969820836.641365,854968215.76138,1118181796.45321,1166855188.34697,1062133482.04557,1124061536.32953,937174948.75951,790261689.081515
1137399124.92658,1149998670.87739,971425634.131597,1216656721.28938,1041611590.23471,1174257652.65261,847516322.56472,1211544683.63487,923573588.195451,1138203410.93888,998455154.814181,1280061278.06611,1193009929.27819,1140964820.89999,1048910320.84186,1213218864.24993,1072206705.77618,1092469154.99855,1150287052.58124,1102713302.2605
1597938203.74131,1330684911.87943,1313046457.56849,1437063857.59077,1458230726.76287,1174392028.4416,1403230952.62739,1346284974.89683,1336105648.81491,1565591333.68318,1735906666.8576,1480978979.05167,1617852834.65144,1441745408.50178,1349577567.38388,1550419580.79257,1401506897.52324,1508016616.62437,1310532161.14898,1514915355.60737
1086531615.59505,1322143321.03316,1227600128.39728,1240681107.28143,1031881264.19097,1130066199.71895,1195485853.40566,1207101495.97823,1123550864.20179,1348583578.45509,1333673301.12597,1405374009.39521,1193399689.55886,1123576586.51993,1080543957.98017,1258238472.43213,1105433930.33547,1106650564.49883,1304918151.33284,961533557.64805
1421236939.78128,1152103556.96949,1371956383.51437,1296817770.87842,1400381971.91885,1150472449.68403,1209973510.1547,1117155189.19251,1452347591.33809,1372303886.37616,1490569527.95176,1583151236.12639,1095456357.93192,1251037598.55966,1038813446.14926,1307149929.16829,1367411610.27063,1561642520.56647,1333088646.50386,1359831654.37038
2970140194.82195,3033445661.4307,2589046674.5857,2651702114.73245,2853430716.07245,2727016523.5251,2676781197.1229,2856665500.448,2581696484.61735,2589934919.16325,2664543137.77585,2691863259.2056,2822432298.25295,2483095343.36145,2556505323.3542,2695847678.19015,2516305260.2519,2840601906.72675,2765316520.4021,3040520157.77725
1272351199.16132,1177183175.28415,1682989977.27732,1486153354.75898,1551213963.50701,1132956401.4368,1096727615.78529,1346694219.74936,1400270907.24835,1623333009.39826,1300677130.99199,1518635298.18222,1393251550.46745,1730703309.24101,1218215119.90943,1313628323.38556,1418499887.41178,1467535149.73932,1331041671.39934,1419659006.01309
