replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20,replica21,replica22,replica23,replica24,replica25
-19.8762,-21.4533,-20.9233,-20.9531,-20.8098,-20.262,-20.5804,-21.2408,-21.6124,-21.7311,-21.144,-20.0227,-20.8694,-20.4823,-21.9761,-20.9025,-21.3973,-21.1181,-20.6109,-21.4792,-21.7037,-20.564,-21.348,-20.5985,-21.3899
-37.9898,-42.6203,-40.0485,-47.8469,-48.7962,-42.7016,-40.4236,-36.0947,-37.586,-38.3402,-40.5206,-39.2542,-39.1171,-38.5208,-40.5049,-40.0108,-39.1942,-38.7281,-38.2079,-38.0851,-33.1898,-43.0763,-37.4087,-41.5431,-34.2154
-23.656,-25.4862,-26.0214,-24.6795,-25.9054,-23.602,-24.0198,-27.1022,-26.4728,-24.3886,-24.7022,-24.9978,-26.3786,-26.3665,-25.4645,-25.7876,-24.7869,-23.4146,-26.6328,-24.7682,-26.7313,-24.7672,-24.8535,-26.2822,-25.2516
-27.4361,-27.0164,-30.4162,-30.6384,-27.9229,-29.5339,-29.216,-28.8181,-29.9654,-30.7603,-28.5526,-26.8554,-30.4044,-27.477,-28.0652,-28.3735,-27.0027,-30.2945,-32.1161,-28.7538,-28.4559,-29.8595,-30.6993,-28.738,-24.4149
-19.4389,-16.6374,-17.2286,-20.4113,-20.2141,-15.3811,-17.5641,-21.9087,-16.8272,-19.6166,-17.3288,-17.3076,-19.884,-20.1626,-14.2209,-19.3601,-18.9806,-16.8033,-23.7303,-21.0861,-20.9188,-11.9935,-17.858,-18.1999,-16.8782
-33.4243,-32.3514,-33.9812,-32.7585,-34.1795,-33.2143,-33.3979,-33.8437,-33.6282,-31.5426,-32.6209,-31.5114,-33.2564,-33.8132,-33.0869,-34.289,-33.8731,-32.4322,-33.6117,-31.5308,-30.7153,-34.0016,-33.8151,-33.2692,-33.4141
-27.1403,-28.1277,-27.0834,-27.2253,-26.5712,-23.3405,-26.9785,-28.0722,-25.3757,-28.4623,-29.6566,-26.7816,-27.254,-26.6729,-22.2009,-22.6432,-24.8896,-25.2897,-26.1707,-26.5398,-27.4453,-27.6388,-27.5796,-26.89,-26.8319
-24.4282,-20.6463,-18.6714,-14.7639,-21.4479,-23.4082,-25.3047,-18.2804,-18.2089,-25.6428,-20.4421,-14.2112,-29.9132,-23.6604,-18.4559,-20.9739,-15.8743,-17.0266,-20.6739,-23.6869,-16.2482,-12.2526,-19.885,-19.3419,-19.5835
-23.6983,-10.2907,-25.6513,-26.3416,-25.4364,-24.5285,-24.9348,-27.9324,-26.4341,-26.5393,-25.8776,-26.5313,-29.4202,-26.5108,-26.0038,-26.6393,-23.6046,-26.7881,-25.9312,-26.4746,-26.2496,-25.6165,-26.0627,-25.8547,-24.6321
-42.8385,-42.3516,-46.7072,-39.4549,-44.1137,-45.4642,-44.2897,-43.6655,-45.01,-45.0507,-40.763,-46.757,-45.6825,-41.3016,-44.0228,-44.4289,-44.3733,-43.1052,-46.3324,-42.9693,-43.9256,-47.8947,-39.7496,-40.7804,-43.5798
-21.4956,-21.3932,-22.9505,-22.0183,-17.1067,-22.0376,-21.4161,-21.0693,-23.31,-21.5036,-21.8417,-21.6487,-18.1934,-21.3302,-22.7666,-23.6023,-20.3697,-21.819,-21.4409,-23.4752,-19.1306,-22.115,-22.5595,-20.1387,-16.001
-30.7998,-33.6476,-32.291,-31.9945,-31.1852,-32.467,-34.7503,-34.9671,-32.8215,-31.2765,-29.8173,-33.5962,-34.4413,-20.2266,-23.8655,-31.5338,-32.8477,-28.7209,-32.1999,-33.8274,-32.6911,-26.4064,-28.2634,-34.5787,-28.5347
-28.2772,-26.7452,-28.2441,-27.6392,-28.5881,-28.191,-27.749,-28.5715,-28.9983,-28.476,-27.901,-29.3082,-28.0961,-27.9081,-28.8659,-27.8792,-29.2029,-22.6504,-28.3491,-28.9467,-30.0618,-28.6591,-27.4373,-28.761,-29.6004
-27.9984,-26.2913,-25.5086,-23.9308,-25.5466,-25.0162,-24.6171,-25.2509,-25.0993,-26.3166,-24.5593,-27.1621,-23.932,-26.0811,-28.1477,-23.8288,-24.5701,-27.7858,-24.5642,-22.9117,-25.4929,-25.2181,-24.1528,-25.2822,-28.3393
-31.8655,-26.3405,-26.5744,-28.0652,-24.0238,-32.2483,-25.8958,-25.695,-32.6784,-23.9865,-28.3464,-27.3197,-24.8856,-27.1779,-26.8767,-29.7693,-27.7848,-28.2498,-26.8816,-28.487,-27.7802,-28.63,-23.5597,-31.8559,-29.3167
-36.402,-35.2932,-35.9016,-35.2987,-36.3958,-36.5595,-35.9929,-36.7205,-36.3039,-36.2145,-35.7547,-35.262,-35.7531,-36.0508,-35.9138,-36.2928,-35.0113,-36.4324,-35.7282,-35.7758,-36.8915,-36.2632,-36.1855,-37.0094,-36.3068
-36.6024,-32.8976,-33.3106,-32.9811,-33.3155,-32.8535,-33.062,-32.6056,-36.7757,-33.246,-32.932,-33.1389,-33.8492,-33.2811,-32.2898,-32.558,-33.1475,-33.3298,-33.1952,-33.3312,-32.5085,-33.8193,-33.4162,-32.9376,-32.9546
-20.1884,-19.8893,-20.4863,-23.8958,-20.332,-21.5694,-20.3572,-19.2841,-19.0224,-22.9275,-21.1892,-21.5178,-20.6518,-21.0254,-21.0839,-18.6531,-21.584,-21.2732,-19.9419,-20.5419,-20.3137,-21.4952,-20.1813,-21.5242,-21.1621
-13.7192,-17.6366,-14.6921,-16.5666,-13.8221,-15.872,-12.9593,-14.9457,-14.5454,-14.0559,-14.6076,-14.3097,-14.3793,-13.7638,-12.6739,-15.1517,-13.8841,-11.0281,-14.4022,-14.5067,-15.9729,-13.1638,-13.9826,-14.0235,-12.9502
-27.3759,-27.7446,-28.489,-27.5406,-28.3065,-29.4246,-28.8344,-26.8941,-29.7736,-26.6804,-28.5893,-27.1727,-27.4199,-27.628,-27.7838,-28.2708,-28.7648,-27.7063,-29.3369,-28.363,-28.347,-28.3027,-27.5858,-26.9859,-29.1801
-27.1767,-26.6891,-26.835,-26.374,-26.9514,-26.8679,-26.865,-26.8913,-25.7991,-25.4435,-25.1143,-17.3311,-25.6743,-25.4282,-24.5805,-27.3891,-26.0341,-25.6633,-28.9266,-26.1921,-27.2638,-24.4525,-26.2823,-26.9937,-26.8878
-32.5366,-34.3553,-28.5535,-36.7389,-31.3632,-31.2943,-30.7512,-23.868,-32.0315,-36.9627,-29.4287,-37.4108,-36.0845,-32.1724,-32.7494,-32.3919,-30.228,-30.7182,-40.2895,-33.0507,-31.5965,-28.6731,-35.1415,-27.5174,-27.0291
-16.6292,-17.9016,-24.2604,-21.001,-16.6452,-23.9344,-24.3856,-20.3731,-14.3417,-20.4775,-18.6231,-17.7031,-20.3985,-17.2046,-16.0334,-8.9201,-23.8259,-21.3091,-15.8581,-20.1553,-20.1339,-19.9016,-19.2076,-19.0203,-19.5248
-27.3777,-26.4079,-22.3636,-24.5802,-25.8126,-24.7317,-26.3097,-25.5978,-26.0735,-24.1576,-24.6025,-21.78,-24.87,-24.8542,-25.6818,-24.458,-24.8151,-26.2428,-25.2794,-27.1502,-25.2923,-23.3701,-24.2491,-24.675,-24.8562
-24.591,-23.0109,-22.2664,-23.8386,-19.9962,-23.6625,-23.8417,-21.806,-22.1009,-23.9944,-23.2915,-20.2919,-23.0483,-22.2513,-23.6806,-23.369,-22.3176,-23.0123,-23.8857,-22.3355,-22.7904,-22.3343,-22.5072,-23.6343,-21.2248
-24.6238,-24.9617,-26.9504,-26.299,-25.6596,-23.6417,-25.5839,-23.6469,-25.468,-27.4311,-27.2859,-18.1658,-25.0268,-24.1749,-22.4174,-27.2889,-24.2239,-22.6245,-25.8007,-25.6697,-24.9034,-23.6438,-23.5151,-27.2529,-24.9942
-39.6827,-34.521,-39.838,-37.0012,-36.8395,-39.9781,-37.788,-37.6032,-34.2479,-40.1057,-35.5944,-40.0301,-38.5202,-39.9921,-39.8373,-35.9963,-37.1497,-39.4066,-38.1354,-32.5142,-35.4259,-41.0636,-37.5297,-38.0338,-36.524
-31.1756,-28.0472,-31.0296,-31.3288,-27.0842,-31.1896,-29.8657,-30.9787,-22.2446,-29.1494,-32.8214,-32.1173,-28.7239,-31.1802,-30.2755,-29.894,-29.1405,-29.8652,-29.4787,-30.2367,-28.246,-31.8529,-30.2443,-29.6335,-30.9157
