replica1,replica2,replica3,replica4,replica5
8.2226,7.9476,7.508,7.558,7.9278
13.076,13.865,13.902,12.909,13.406
3.7218,3.9999,3.8949,4.6751,3.6834
16.054,16.15,16.411,16.131,15.426
8.8592,8.8224,9.2866,9.6712,8.9115
10.809,11.207,11.248,10.847,11.112
15.325,14.06,14.599,14.824,15.556
4.9954,6.0366,5.1181,5.0951,5.3643
8.8602,9.4443,8.0541,8.0443,9.1107
7.8503,7.5547,7.7224,7.5112,8.0522
3.6536,2.8729,3.6148,3.3915,3.7536
10.432,9.3244,8.7059,8.284,8.6655
9.0258,9.3597,9.763,9.3841,9.1731
4.289,4.0358,3.7238,3.5765,3.9989
6.8973,7.1203,6.9188,7.2576,6.7363
4.6746,5.1788,4.3768,4.9356,5.0525
5.5687,7.78,5.5843,6.133,6.2698
7.6591,7.0348,8.2457,7.9581,7.8649
2.2598,1.9206,2.4514,2.1438,2.0074
7.1323,7.9219,6.9268,7.6338,6.7122
9.1565,7.385,8.1388,7.5023,8.3362
2.7491,3.002,3.2774,3.8127,2.7073
2.5983,2.1957,1.9116,3.0921,3.0123
8.0404,7.9393,7.3595,7.9804,8.3285
4.7899,5.0054,5.2667,4.5902,5.1661
4.7755,4.9841,4.1757,4.5389,5.8915
3.8643,3.3568,4.1819,4.13,3.7086
7.9806,8.2374,8.6803,7.9697,8.0714
4.1072,3.4917,3.9504,3.482,3.7658
11.067,11.661,11.872,10.385,11.239
1.4919,1.6618,0.98108,0.91589,1.369
9.5924,8.6998,9.4602,9.3012,8.9874
10.107,9.6439,9.3828,9.6393,9.8815
5.1204,5.5339,5.9896,5.4153,5.6231
8.8049,7.962,8.6157,8.6984,9.3121
2.8244,3.0376,1.8522,3.4766,2.5567
4.8064,5.0232,5.1574,4.9404,4.8765
3.3902,3.6978,3.584,3.0915,5.1893
7.0937,7.0388,7.4644,7.5015,6.8874
7.251,8.5379,7.8888,7.2038,7.67
5.1647,4.8988,5.6992,5.4187,4.684
8.1448,8.0184,8.0573,8.337,8.6735
8.2052,7.098,7.5382,7.9174,6.4253
11.051,11.297,10.657,10.454,9.9197
16.941,17.016,16.773,16.568,16.672
5.5834,5.8635,6.2123,6.3649,5.7641
6.5532,5.2226,5.6776,5.687,4.848
3.1041,2.9726,2.4899,2.8168,3.2557
1.5517,1.8578,1.7304,2.1889,1.4106
11.479,12.1,11.14,11.23,11.556
21.103,20.91,20,21.067,20.498
3.5357,3.7205,4.5545,3.8282,5.3904
-0.22025,0.00825,-0.52998,-0.22902,0.35059
4.705,4.7623,4.1972,4.9936,4.5697
7.0283,6.8838,6.8008,7.1527,7.2196
11.985,12.208,11.939,12.319,11.72
7.0821,7.0388,6.8335,6.5811,6.4555
17.652,17.625,17.532,18.123,17.946
3.0927,3.4678,3.2324,3.376,3.3035
2.7574,3.0887,2.6862,2.9395,3.006
8.2346,8.1559,7.7612,8.3516,8.4238
2.3513,2.7246,1.1441,2.5616,1.6841
5.2318,5.3843,5.0368,5.1068,5.4431
7.1435,6.5904,7.6625,7.6708,7.9802
4.2635,4.5904,5.2908,5.2456,4.8838
7.2096,7.4827,7.4567,6.7104,6.9541
9.5671,8.7795,9.1998,9.6681,8.5503
5.5124,4.9615,5.566,5.8438,5.3607
4.4323,4.3507,4.5614,4.9369,4.4897
6.1524,6.6367,7.1242,6.4065,5.8047
15.373,15.599,15.289,14.899,15.453
14.652,15.209,14.97,15.395,15.196
12.096,12.157,11.953,12.669,11.867
15.237,15.538,15.012,15.083,15.606
7.9572,8.7393,8.6065,8.263,9.0093
-0.80717,-1.2018,-0.55757,-0.74228,-0.78555
7.0115,8.1914,7.9094,7.7189,7.3946
8.0491,7.8786,7.4158,7.3542,7.0391
6.8936,6.6238,6.3373,6.6231,6.6442
11.728,11.792,11.214,12.19,11.727
10.864,10.188,10.558,10.86,10.036
15.27,14.373,16.025,14.511,13.884
9.4803,11.022,10.672,9.8678,10.244
6.3252,7.0246,6.0487,6.4722,6.4124
5.2169,5.4919,6.004,6.4128,5.6236
8.4572,7.694,8.0526,8.0486,7.0697
3.2971,4.1879,4.5367,3.3407,4.4331
6.9691,5.7958,5.8149,6.361,5.2301
5.416,4.5883,5.8826,5.2477,5.2499
7.7145,7.5236,7.6351,7.5918,7.2174
0.07116,-0.23985,-0.23534,-0.36358,0.8365
3.7625,3.8039,4.0372,3.1271,2.6298
3.7958,3.3612,3.4996,3.3079,3.4456
6.0123,5.013,5.7151,5.7468,5.626
13.224,13.862,14.155,13.786,13.885
8.7815,10.253,9.5407,9.8688,9.4847
5.3227,5.0252,5.7221,7.3079,6.0543
12.571,12.358,15.206,11.685,12.744
5.2198,5.1821,4.8967,4.9526,4.7611
9.9495,10.081,10.605,9.2796,9.9224
5.1573,5.2611,5.7142,6.2068,4.9702
13.611,14.216,14.279,14.16,14.213
2.564,3.3922,3.5907,3.7121,3.601
11.473,11.314,11.915,12.154,11.163
7.1991,7.4542,7.4442,6.9903,7.8218
9.1779,9.6303,10.396,9.8525,10.802
10.098,9.8615,10.472,10.543,10.073
6.5863,7.4747,6.7898,7.312,6.6681
8.8227,8.079,7.0057,7.8011,8.5003
3.5584,4.161,3.6338,4.1849,4.0822
3.0686,2.9364,2.1353,3.4535,2.154
6.7004,7.2674,7.181,6.9235,7.5293
6.2614,6.4053,6.8472,6.7524,6.4717
2.3011,1.6521,2.3819,2.0852,1.9712
8.1665,8.6308,8.8062,8.4219,8.7065
12.009,12.308,11.997,12.484,12.584
4.3767,4.7357,4.3321,4.698,4.6933
8.9321,9.1556,10.081,9.5161,9.5839
11.879,11.878,11.822,11.787,11.587
7.7729,7.5409,7.9343,8.1993,7.2381
4.8681,4.7921,3.6582,3.703,4.4674
17.311,16.844,17.167,16.94,17.351
9.8142,8.9011,8.6633,9.824,9.7389
5.6301,6.2171,5.7016,6.2538,4.9999
3.8186,4.7036,3.9775,4.4831,4.0847
4.1414,3.2785,3.3972,4.4925,4.1438
7.6849,7.0078,6.6633,7.154,6.9523
10.825,10.369,10.976,11.17,11.461
2.9107,3.397,3.0336,3.5805,2.7872
13.175,13.186,13.204,13.575,12.75
2.6726,1.8836,2.1012,2.615,2.0832
11.459,11.802,11.268,11.113,11.567
4.2784,4.0048,4.3123,4.5001,4.47
10.845,9.826,10.224,10.748,10.499
7.7618,7.5646,8.6612,7.8159,7.7698
6.5968,6.9893,6.6982,7.429,6.9611
2.2978,3.0542,2.9917,3.4719,2.7055
14.142,13.422,15.148,13.993,14.059
19.136,18.327,19.054,19.469,18.863
7.4428,6.7481,7.793,7.3675,6.4704
4.872,4.6926,4.4439,4.5431,4.4011
8.2151,7.566,8.1075,9.0839,8.6781
7.1126,7.9715,8.9692,8.0014,7.6171
3.1105,3.008,2.989,3.5026,2.5163
3.4916,4.0045,3.8423,3.8539,3.7501
23.451,22.181,23.057,21.277,23.876
7.6761,8.1747,7.697,7.5998,7.5183
8.4322,8.4041,8.666,8.7367,8.094
4.0477,4.6635,3.7655,4.2344,4.4026
18.337,18.568,17.048,17.487,18.341
3.594,4.0281,4.2793,4.8486,4.6813
6.7262,7.6617,7.3306,7.0724,6.5035
6.769,5.9646,6.3011,6.1737,6.2337
5.1114,4.4677,4.5201,4.0781,5.3752
3.7369,3.4916,3.6559,3.4709,3.3128
13.181,14.003,13.194,13.044,13.454
2.6828,4.1143,2.9724,2.4113,3.1783
11.671,11.047,11.607,10.81,10.934
8.9151,8.9716,9.4114,9.7454,9.6938
2.7779,3.8859,3.4185,3.9762,3.559
5.8928,5.9082,6.0837,6.0579,5.2057
6.9849,5.8088,7.2242,6.4,6.2403
5.3756,4.856,4.8977,5.0221,4.8273
11.356,11.75,11.746,11.527,11.66
5.7798,5.4602,5.1171,5.7945,5.9019
15.839,15.837,16.464,15.731,15.851
10.426,10.878,11.035,10.938,10.746
7.9852,7.482,6.7273,6.908,6.4858
5.6444,6.39,5.7548,6.4078,6.5925
3.9764,3.2812,3.1296,2.787,3.8032
10.071,9.7829,9.4456,9.4166,9.7327
11.855,11.024,11.778,10.96,11.452
9.4631,9.2673,9.0728,8.3854,10.353
10.688,11.696,11.684,10.403,11.067
10.484,10.96,10.179,11.313,10.439
4.4952,4.2898,4.0742,4.7949,5.0077
2.0441,1.0664,1.4577,1.8265,1.865
9.4568,8.2427,8.3095,7.8951,7.5756
2.0419,2.3024,2.9228,2.9568,3.1329
2.9258,3.1152,3.0658,2.8016,3.4291
4.7984,5.4768,5.3398,4.8774,4.1068
4.9555,4.8258,4.5338,5.593,4.416
6.0797,6.0513,5.9085,6.4981,5.9873
6.861,7.3808,7.0882,6.6871,6.884
1.2982,2.5011,2.0935,2.1524,2.2557
8.2948,7.8521,8.5191,8.7536,8.4637
7.9916,7.644,7.7462,7.7998,7.7575
13.033,12.943,13.017,13.048,13.013
1.4427,0.50466,1.3175,1.4162,1.0215
1.5897,1.6999,2.1369,1.9499,1.7638
2.97,2.9111,3.5943,2.2333,3.2267
0.33521,0.55645,0.4535,0.46057,1.0673
5.1017,5.7614,5.3528,5.0427,5.5313
5.8437,5.8129,5.0522,5.3572,5.5785
7.7984,7.8578,7.4082,7.5081,7.3129
7.5917,7.2368,7.296,7.1862,7.4405
9.3199,9.809,8.9902,9.0848,9.6173
3.729,3.4352,3.1112,2.9573,3.9662
12.764,13.529,13.497,13.567,13.573
14.788,15.198,15.126,15.367,15.077
3.8613,3.0072,3.0754,3.7273,2.9638
4.7327,4.2431,4.5899,3.7912,3.5416
1.0936,1.1755,1.9129,1.5436,0.93873
7.343,7.0242,7.1838,7.6922,7.8002
3.8238,2.7734,2.0595,2.8037,2.7189
15.662,16.943,16.544,16.103,15.391
5.4355,6.1066,6.2133,5.7414,5.5053
7.9033,8.0877,6.7018,7.6421,6.864
4.1541,5.5577,5.0408,4.6376,3.9777
3.9691,4.6055,3.9788,4.6763,3.4101
-6.7335,-6.6086,-6.6677,-6.6541,-6.8669
1.4865,1.9851,2.101,1.5519,1.6857
11.378,10.992,10.94,11.527,11.418
8.7687,7.9982,9.1457,8.9158,9.6365
6.0894,5.9415,5.4592,6.1088,5.7214
16.653,17.617,17.399,17.263,16.799
5.3624,5.298,5.6205,5.1872,5.3706
4.0399,2.9772,2.8039,3.6071,3.2984
11.811,12.141,12.146,12.411,12.451
20.775,20.429,20.729,20.284,21.037
3.23,2.5064,3.3012,2.9068,2.5931
40.77,40.666,40.08,39.919,40.246
5.8129,6.234,5.8003,5.8888,5.5173
0.36458,0.31735,0.55166,0.1226,-0.43129
3.6786,3.967,3.6059,3.7108,3.6166
7.6285,7.0934,9.2688,8.1211,7.3591
0.99672,0.62859,0.91693,0.67837,0.90355
7.232,6.7304,7.1431,6.9841,6.7415
19.63,19.379,19.284,19.502,19.119
13.122,13.225,12.833,13.929,12.351
25.325,24.213,24.719,24.831,25.698
7.0294,6.4818,6.8897,7.2622,7.1415
5.6669,5.3568,4.9536,4.8821,5.1241
15.02,12.686,16.229,15.129,14.241
6.5463,6.0917,6.7411,5.5238,5.6663
6.9092,5.6775,6.8274,6.0206,6.377
14.692,14.721,14.925,14.749,15.107
17.057,17.254,15.745,15.333,14.815
13.945,13.859,14.171,13.586,13.491
12.289,12.79,12.266,11.82,12.189
1.6611,2.294,2.8078,3.1298,1.6593
10.706,10.192,9.8796,10.134,10.187
7.0405,7.144,6.4386,7.4409,7.6774
-0.4988,-0.42953,-0.96517,-0.0958,-0.45744
7.2025,7.7768,6.8102,7.1559,6.7863
5.9054,5.1061,5.5647,5.9317,5.6051
1.5333,2.1954,2.3498,1.3417,1.8869
5.33,5.009,4.3711,4.3931,5.4506
5.5859,5.9296,6.0138,5.3009,6.0215
7.7375,7.22,6.8751,6.5106,5.9328
5.0209,5.3503,5.6277,5.5134,4.5674
14.252,14.683,14.585,12.949,13.942
6.3919,6.7863,6.9789,7.4901,6.8112
6.5721,5.8665,5.9845,6.607,6.2212
4.8371,5.6529,4.8336,5.2589,5.6388
3.0574,3.3755,3.3347,2.6002,3.3027
8.4275,8.3087,8.9144,8.7655,9.3303
2.0419,1.5536,1.7484,2.3795,1.7909
11.182,10.554,10.495,11.559,10.486
4.2813,4.5472,3.9163,3.6271,3.9307
22.142,20.968,21.987,22.228,21.071
17.623,17.962,17.241,17.251,17.481
-0.15819,-0.58389,-0.15471,0.69094,-0.42701
18.563,18.572,18.203,18.244,17.453
11.077,14.579,14.204,14.515,14.275
4.9215,6.1893,5.5528,5.8495,5.6173
5.7118,7.8927,5.8396,6.8223,6.4156
11.254,10.815,10.931,11.537,11.961
16.011,15.89,16.009,16.387,16.554
4.9507,5.3301,4.9662,5.3201,5.3573
8.3344,7.8575,8.062,8.0383,7.2183
6.354,6.2658,7.3738,6.4735,7.2432
15.624,14.276,14.494,14.229,16.255
11.19,10.315,9.6762,10.298,10.373
8.7649,9.2322,8.6468,9.143,8.8947
4.1599,3.8014,4.4996,4.0188,4.3453
13.015,12.333,13.519,12.418,12.45
6.6886,5.6315,5.5719,6.3434,6.3674
12.742,12.705,12.842,12.295,12.775
3.3479,3.2598,3.2547,3.5626,3.005
6.584,9.6747,8.5774,10.45,9.4132
8.7568,8.3203,8.3673,8.4261,8.637
21.89,21.29,22.794,20.058,22.336
3.9147,3.1916,3.4996,3.896,3.2266
-2.0623,-2.7941,-2.9224,-3.3469,-2.2654
6.6142,14.614,14.655,14.459,10.305
6.4172,6.8499,6.2681,7.0332,6.8165
1.2797,1.6156,2.1173,1.0306,1.9208
5.6951,6.2858,5.7653,5.7243,5.8897
3.6668,4.0301,3.4218,4.1619,4.7522
4.9845,5.5216,5.4296,5.5594,5.7593
